t_avail_s,relative_m
0,0
0.5,0.18715719915546622
1,0.37428482639638999
1.5,0.56135315860817725
2,0.74833276453739539
2.5,0.93519399501402289
3,1.1219072447360028
3.5,1.3084430009003309
4,1.4947714462255575
4.5,1.6808640902893772
5,1.8666902956381721
5.5,2.0522216698020586
6,2.2374284059943808
6.5,2.4222814423396528
7,2.6067510187294509
7.5,2.7908089686750976
8,2.9744257873720206
8.5,3.1575723011697709
9,3.3402196241894111
9.5,3.5223396021721367
10,3.7039022829956831
10.5,3.8848802268762168
11,4.0652454582565696
11.5,4.2449676171470569
12,4.4240206745744466
12.5,4.6023748022120667
13,4.7800026375837259
13.5,4.9568766168232425
14,5.1329676632772259
14.5,5.308250706127331
15,5.4826955365200361
15.5,5.6562768623615263
16,5.828965362372017
16.5,6.0007378829449705
17,6.1715636176232636
17.5,6.3414185484956391
18,6.5102739900020312
18.5,6.6781061515475493
19,6.8448872824772815
19.5,7.0105920693603174
20,7.1751942596579292
20.5,7.3386684406718876
21,7.5009910005888942
21.5,7.662133516368498
22,7.8220753498517022
22.5,7.9807890011735765
23,8.1382501695643548
23.5,8.294435570206554
24,8.4493201667280129
24.5,8.602881900752223
25,8.7550961412387061
25.5,8.9059394887811383
26,9.0553895217171316
26.5,9.2034222872876139
27,9.3500183918605941
27.5,9.4951525450466185
28,9.6388038074316036
28.5,9.7809502740350673
29,9.9215716040314117
29.5,10.060644885940064
30,10.198151566901755
30.5,10.334067708928512
31,10.468377938624521
31.5,10.601058842965172
32,10.732091128600016
32.5,10.861455741158984
33,10.989133495361195
33.5,11.115105329735087
34,11.239354305104223
34.5,11.361859975165572
35,11.482607216872227
35.5,11.601577204342009
36,11.718751978506241
36.5,11.834115685020681
37,11.94765179469349
37.5,12.059343010917667
38,12.169175867404887
38.5,12.27713247422219
39,12.38319842594991
39.5,12.487359369916746
40,12.589601741292325
40.5,12.689908542019433
41,12.788269837717278
41.5,12.884667723350406
42,12.979092544664946
42.5,13.071531920386034
43,13.161968711180497
43.5,13.250399134138737
44,13.336807436046286
44.5,13.421178250006786
45,13.503507952250855
45.5,13.583779580170871
46,13.661987589080541
46.5,13.738120427459135
47,13.812170469681918
47.5,13.884124442157669
48,13.953978924469691
48.5,14.02172414019901
49,14.087350177691958
49.5,14.150850645339636
50,14.212217573881608
50.5,14.271450434440618
51,14.328536477450584
51.5,14.383468667403378
52,14.436246725311504
52.5,14.486864019123436
53,14.535315353880463
53.5,14.58159320635057
54,14.625697606784417
54.5,14.667628381079
55,14.707374558601858
55.5,14.74493495761452
56,14.780314055470971
56.5,14.813505910368239
57,14.84450714881762
57.5,14.873317322151257
58,14.899935530657791
58.5,14.924364059166439
59,14.946601123727667
59.5,14.966641990075791
60,14.984503001315407
60.5,15.000170622231281
61,15.013648880888084
61.5,15.024945395661971
62,15.034061700142356
62.5,15.040996623780654
63,15.045755000092949
63.5,15.048340788781012
64,15.04875874894848
64.5,15.047013868762413
65,15.043108804523301
65.5,15.037050918479862
66,15.028845368732277
66.5,15.018496945686357
67,15.006013527128788
67.5,14.991402422598899
68,14.974668596763731
68.5,14.955821164964615
69,14.934869728639283
69.5,14.911819588363784
70,14.886682400511605
70.5,14.859463436665363
71,14.830176581303808
71.5,14.798829997804578
72,14.765431730512615
72.5,14.72999719530806
73,14.692532362168775
73.5,14.65305360456386
74,14.61156862534235
74.5,14.568091294473696
75,14.522632902630022
75.5,14.475208875421659
76,14.425829503080886
76.5,14.374508336435291
77,14.32126499651034
77.5,14.26610703944864
78,14.209051008537187
78.5,14.150114283675745
79,14.089308219500666
79.5,14.026651801509205
80,13.962159318858028
80.5,13.8958482566672
81,13.827734151191949
81.5,13.757834493263902
82,13.686166898396994
82.5,13.612748099280195
83,13.537595736735257
83.5,13.460732221450211
84,13.382171070306256
84.5,13.301933361709487
85,13.220038211703082
85.5,13.136505453286532
86,13.051353804849274
86.5,12.964603615923352
87,12.876275765471831
87.5,12.786392168765245
88,12.694970112527727
88.5,12.602036875521092
89,12.507607204441115
89.5,12.411709256860831
90,12.314359768627089
90.5,12.21558333217888
91,12.115403151778567
91.5,12.013841565273422
92,11.910920691054992
92.5,11.806665558030122
93,11.701098372190753
93.5,11.594243042492279
94,11.486125412041881
94.5,11.376768494686036
95,11.266196564398925
95.5,11.154433585277394
96,11.041506818321514
96.5,10.927440361725479
97,10.812259636057359
97.5,10.695989533462525
98,10.578656633270079
98.5,10.460286539287118
99,10.340904981779939
99.5,10.220541504073648
100,10.099217844612713
100.5,9.976964274667889
101,9.8538052415519992
101.5,9.7297699223534941
102,9.6048838470503011
102.5,9.4791757290002003
103,9.3526725178905572
103.5,9.225400987638201
104,9.0973904526320872
104.5,8.9686675867804055
105,8.8392621737888462
105.5,8.7092003642893872
106,8.5785125992745588
106.5,8.4472251587826523
107,8.3153680676925514
107.5,8.1829690638804493
108,8.050057212730021
108.5,7.9166619294991341
109,7.782811128942889
109.5,7.6485344636737445
110,7.5138609631916333
110.5,7.3788194761718389
111,7.2434400833574299
111.5,7.1077509530913519
112,6.9717818683006128
112.5,6.835562415739096
113,6.69912203249838
113.5,6.5624899651287478
114,6.4256958058849873
114.5,6.2887691038381535
115,6.1517394370893621
115.5,6.0146364442753066
116,5.8774896601229507
116.5,5.7403287640010365
117,5.6031833117931189
117.5,5.4660829367980766
118,5.3290572119493316
118.5,5.1921357797700871
119,5.0553482107452199
119.5,4.9187239231608348
120,4.7822926563550228
120.5,4.646083566747059
121,4.5101265889069309
121.5,4.3744510672805799
122,4.2390849749078212
122.5,4.1040594500062157
123,3.9694028095304983
123.5,3.8351444327786544
124,3.7013134117426763
124.5,3.5679386875916053
125,3.4350490534044225
125.5,3.3026737012362921
126,3.170840699751885
126.5,3.0395794721316434
127,2.90891855600329
127.5,2.7788857844348192
128,2.6495087437457148
128.5,2.5208175306384604
129,2.3928392543779182
129.5,2.2656018331496002
130,2.1391326940276891
130.5,2.0134600806967282
131,1.8886113067516839
131.5,1.7646141162551923
132,1.6414948138527734
132.5,1.5192818813725493
133,1.3980005528401511
133.5,1.2776782752558209
134,1.1583417446496129
134.5,1.0400175589138005
135,0.9227307865394716
135.5,0.80650909704177176
136,0.69137639269076367
136.5,0.57735972846948524
137,0.46448382120939136
137.5,0.35277455710523992
138,0.24225630996216971
138.5,0.13295279599313384
139,0.024889774578332084
139.5,-0.08190816165200665
140,-0.18741752452777485
140.5,-0.29161346992601567
141,-0.39447481085237779
141.5,-0.49597617772007335
142,-0.59609514649495421
142.5,-0.69480896943317272
143,-0.79209394943318956
143.5,-0.88792906586145781
144,-0.98229037815278908
144.5,-1.0751604049053827
145,-1.1665127751443165
145.5,-1.2563277695118653
146,-1.3445859164463576
146.5,-1.4312658468112762
147,-1.5163461304989423
147.5,-1.5998064089626947
148,-1.6816291754414214
148.5,-1.7617925202588001
149,-1.8402798171122841
149.5,-1.9170695137254128
150,-1.9921431368512355
