t_avail_s,relative_m
0,0
0.10000000000000001,0
0.20000000000000001,0
0.29999999999999999,0
0.40000000000000002,0
0.5,0
0.59999999999999998,0
0.69999999999999996,0
0.80000000000000004,0
0.90000000000000002,0
1,0
1.1000000000000001,0
1.2,0
1.3,0
1.3999999999999999,0
1.5,0
1.6000000000000001,0
1.7,0
1.8,0
1.8999999999999999,0
2,0
2.1000000000000001,0
2.2000000000000002,0
2.2999999999999998,0
2.3999999999999999,0
2.5,0
2.6000000000000001,0
2.7000000000000002,0
2.7999999999999998,0
2.8999999999999999,0
3,0
3.1000000000000001,0
3.2000000000000002,0
3.2999999999999998,0
3.3999999999999999,0
3.5,0
3.6000000000000001,0
3.7000000000000002,0
3.7999999999999998,0
3.8999999999999999,0
4,0
4.0999999999999996,0
4.2000000000000002,0
4.2999999999999998,0
4.4000000000000004,0
4.5,0
4.5999999999999996,0
4.7000000000000002,0
4.7999999999999998,0
4.9000000000000004,0
5,0
5.0999999999999996,0
5.2000000000000002,0
5.2999999999999998,0
5.4000000000000004,0
5.5,0
5.5999999999999996,0
5.7000000000000002,0
5.7999999999999998,0
5.9000000000000004,0
6,0
6.0999999999999996,0
6.2000000000000002,0
6.2999999999999998,0
6.4000000000000004,0
6.5,0
6.5999999999999996,0
6.7000000000000002,0
6.7999999999999998,0
6.9000000000000004,0
7,0
7.0999999999999996,0
7.2000000000000002,0
7.2999999999999998,0
7.4000000000000004,0
7.5,0
7.5999999999999996,0
7.7000000000000002,-0.000386
7.7999999999999998,-0.001707
7.9000000000000004,-0.0040629999999999998
8,-0.0076169999999999996
8.0999999999999996,-0.012527
8.1999999999999993,-0.01899
8.3000000000000007,-0.027234000000000001
8.4000000000000004,-0.037534999999999999
8.5,-0.050208999999999997
8.5999999999999996,-0.065750000000000003
8.6999999999999993,-0.085018999999999997
8.8000000000000007,-0.108973
8.9000000000000004,-0.133821
9,-0.159077
9.0999999999999996,-0.18478700000000001
9.1999999999999993,-0.21098600000000001
9.3000000000000007,-0.23768
9.4000000000000004,-0.26486399999999999
9.5,-0.29254200000000002
9.5999999999999996,-0.32070900000000002
9.6999999999999993,-0.34928300000000001
9.8000000000000007,-0.378334
9.9000000000000004,-0.40783999999999998
10,-0.43777700000000003
10.1,-0.46811599999999998
10.199999999999999,-0.49882599999999999
10.300000000000001,-0.52987499999999998
10.4,-0.56122799999999995
10.5,-0.59284400000000004
10.6,-0.62466299999999997
10.699999999999999,-0.65667299999999995
10.800000000000001,-0.68884999999999996
10.9,-0.72115899999999999
11,-0.75356299999999998
11.1,-0.78602700000000003
11.199999999999999,-0.81851300000000005
11.300000000000001,-0.85098600000000002
11.4,-0.88341499999999995
11.5,-0.91576599999999997
11.6,-0.94799800000000001
11.699999999999999,-0.98007699999999998
11.800000000000001,-1.011971
11.9,-1.0436449999999999
12,-1.0750649999999999
12.1,-1.1061970000000001
12.199999999999999,-1.137008
12.300000000000001,-1.167521
12.4,-1.1976439999999999
12.5,-1.227341
12.6,-1.2565809999999999
12.699999999999999,-1.285331
12.800000000000001,-1.3135589999999999
12.9,-1.341232
13,-1.368325
13.1,-1.3948069999999999
13.199999999999999,-1.4206460000000001
13.300000000000001,-1.4458489999999999
13.4,-1.4704120000000001
13.5,-1.4942260000000001
13.6,-1.517261
13.699999999999999,-1.539485
13.800000000000001,-1.5608690000000001
13.9,-1.5813809999999999
14,-1.6009899999999999
14.1,-1.6196660000000001
14.199999999999999,-1.6373759999999999
14.300000000000001,-1.6542030000000001
14.4,-1.670045
14.5,-1.6848160000000001
14.6,-1.6984840000000001
14.699999999999999,-1.7110190000000001
14.800000000000001,-1.7223919999999999
14.9,-1.732569
15,-1.7415210000000001
15.1,-1.749215
15.199999999999999,-1.75562
15.300000000000001,-1.7609079999999999
15.4,-1.7648170000000001
15.5,-1.767317
15.6,-1.7683770000000001
15.699999999999999,-1.767965
15.800000000000001,-1.766051
15.9,-1.762602
16,-1.7575860000000001
16.100000000000001,-1.7509710000000001
16.199999999999999,-1.7427220000000001
16.300000000000001,-1.733071
16.399999999999999,-1.7216880000000001
16.5,-1.708542
16.600000000000001,-1.6936020000000001
16.699999999999999,-1.6768369999999999
16.800000000000001,-1.6582129999999999
16.899999999999999,-1.637694
17,-1.615246
17.100000000000001,-1.5908370000000001
17.199999999999999,-1.564433
17.300000000000001,-1.5359989999999999
17.399999999999999,-1.505822
17.5,-1.473506
17.600000000000001,-1.4390229999999999
17.699999999999999,-1.4023429999999999
17.800000000000001,-1.363435
17.899999999999999,-1.3222670000000001
18,-1.27881
18.100000000000001,-1.2330289999999999
18.199999999999999,-1.1848939999999999
18.300000000000001,-1.1343730000000001
18.399999999999999,-1.081564
18.5,-1.026543
18.600000000000001,-0.96899000000000002
18.699999999999999,-0.90888100000000005
18.800000000000001,-0.84618899999999997
18.899999999999999,-0.78088900000000006
19,-0.71295500000000001
19.100000000000001,-0.64236000000000004
19.199999999999999,-0.569079
19.300000000000001,-0.493085
19.399999999999999,-0.41439700000000002
19.5,-0.33290700000000001
19.600000000000001,-0.24864800000000001
19.699999999999999,-0.16164500000000001
19.800000000000001,-0.071492
19.899999999999999,0.021843999999999999
20,0.118376
20.100000000000001,0.21809300000000001
20.199999999999999,0.32097100000000001
20.300000000000001,0.42697200000000002
20.399999999999999,0.53604799999999997
20.5,0.64813900000000002
20.600000000000001,0.76318299999999994
20.699999999999999,0.88104899999999997
20.800000000000001,1.0015499999999999
20.899999999999999,1.124638
21,1.250264
21.100000000000001,1.3782430000000001
21.199999999999999,1.508421
21.300000000000001,1.6410279999999999
21.399999999999999,1.775995
21.5,1.9132480000000001
21.600000000000001,2.0527190000000002
21.699999999999999,2.1943350000000001
21.800000000000001,2.338028
21.899999999999999,2.483727
22,2.631367
22.100000000000001,2.7808739999999998
22.199999999999999,2.9321199999999998
22.300000000000001,3.085035
22.399999999999999,3.2393260000000001
22.5,3.3952369999999998
22.600000000000001,3.5527150000000001
22.699999999999999,3.7117059999999999
22.800000000000001,3.8720059999999998
22.899999999999999,4.0336720000000001
23,4.196733
23.100000000000001,4.3611360000000001
23.199999999999999,4.5268259999999998
23.300000000000001,4.6937509999999998
23.399999999999999,4.8618620000000004
23.5,5.03111
23.600000000000001,5.2014480000000001
23.699999999999999,5.3728150000000001
23.800000000000001,5.5451490000000003
23.899999999999999,5.7184140000000001
24,5.8925749999999999
24.100000000000001,6.0674640000000002
24.199999999999999,6.243201
24.300000000000001,6.4197480000000002
24.399999999999999,6.5970659999999999
24.5,6.7751169999999998
24.600000000000001,6.9538659999999997
24.699999999999999,7.1332760000000004
24.800000000000001,7.3133109999999997
24.899999999999999,7.4939390000000001
25,7.6751230000000001
25.100000000000001,7.8568059999999997
25.199999999999999,8.0389350000000004
25.300000000000001,8.2215340000000001
25.399999999999999,8.4045649999999998
25.5,8.5879969999999997
25.600000000000001,8.7718000000000007
25.699999999999999,8.9559429999999995
25.800000000000001,9.1403979999999994
25.899999999999999,9.3250919999999997
26,9.5100490000000004
26.100000000000001,9.6952400000000001
26.199999999999999,9.8806329999999996
26.300000000000001,10.0662
26.399999999999999,10.251911
26.5,10.437738
26.600000000000001,10.623652999999999
