anchor_id,east_m,north_m,up_m,heading_deg,radius_m,notes
a00,-2500.457396,-764.761626,188.420621,0,10,large_city_flat_a00; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a01,-2484.267396,1526.188374,99.120621,0,10,large_city_flat_a01; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a02,-2392.607396,-2140.681626,99.120621,0,10,large_city_flat_a02; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a03,-2016.737396,187.788374,99.120621,0,10,large_city_flat_a03; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a04,-1952.567396,2222.898374,99.120621,0,10,large_city_flat_a04; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a05,-1842.567396,1251.168374,179.740621,0,10,large_city_flat_a05; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a06,-1384.207396,-2186.511626,153.860621,0,10,large_city_flat_a06; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a07,-1283.367396,-948.941626,99.120621,0,10,large_city_flat_a07; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a08,-1145.857396,2213.728374,99.120621,0,10,large_city_flat_a08; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a09,-1127.527396,1232.838374,99.120621,0,10,large_city_flat_a09; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a10,-724.167396,-197.231626,152.090620,0,10,large_city_flat_a10; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a11,-375.817396,-1801.491626,99.120621,0,10,large_city_flat_a11; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a12,-329.977396,2378.738374,99.120621,0,10,large_city_flat_a12; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a13,-289.727396,1278.678374,99.120621,0,10,large_city_flat_a13; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a14,-229.137396,-1315.631626,99.120621,0,10,large_city_flat_a14; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a15,531.742604,2268.728374,99.120621,0,10,large_city_flat_a15; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a16,559.242604,50.278374,99.120621,0,10,large_city_flat_a16; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a17,632.572604,1287.848374,157.420621,0,10,large_city_flat_a17; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a18,760.912604,-2223.181626,99.120621,0,10,large_city_flat_a18; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a19,944.262604,-1095.621626,102.030620,0,10,large_city_flat_a19; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a20,1411.792604,2094.548374,99.120621,0,10,large_city_flat_a20; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a21,1686.802604,1086.168374,99.120621,0,10,large_city_flat_a21; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a22,1925.152604,316.128374,99.120621,0,10,large_city_flat_a22; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a23,1980.152604,-1902.331626,158.060620,0,10,large_city_flat_a23; 9/9 cells; worst pairwise 0.0234 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
