anchor_id,east_m,north_m,up_m,heading_deg,radius_m,notes
a00,-1849.339997,-1213.271512,0.970620,0,10,mountains_a00; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a01,-1610.299997,-181.771512,0.970620,0,10,mountains_a01; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a02,-1576.169997,962.218488,0.970620,0,10,mountains_a02; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a03,-1465.169997,-1863.601512,0.970620,0,10,mountains_a03; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a04,-1234.659997,108.488488,0.970620,0,10,mountains_a04; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a05,-1200.509997,-1308.681512,0.970620,0,10,mountains_a05; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a06,-1115.139997,-642.781512,0.970620,0,10,mountains_a06; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a07,-901.699997,748.788488,36.040621,0,10,mountains_a07; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a08,-884.639997,-1718.461512,0.970620,0,10,mountains_a08; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a09,-705.349997,-1026.951512,0.970620,0,10,mountains_a09; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a10,-622.329997,-452.821512,54.570621,0,10,mountains_a10; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a11,-619.979997,-72.181512,0.970620,0,10,mountains_a11; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a12,-363.859997,902.458488,0.970620,0,10,mountains_a12; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a13,-244.349997,-1940.431512,0.970620,0,10,mountains_a13; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a14,-124.819997,-719.621512,0.970620,0,10,mountains_a14; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a15,-73.599997,-1180.621512,0.970620,0,10,mountains_a15; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a16,-5.299997,202.398488,74.790621,0,10,mountains_a16; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a17,170.380003,844.208488,0.970620,0,10,mountains_a17; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a18,387.410003,-523.261512,0.970620,0,10,mountains_a18; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a19,404.480003,-881.821512,0.970620,0,10,mountains_a19; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a20,472.770003,-1735.541512,0.970620,0,10,mountains_a20; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a21,728.900003,-87.861512,0.970620,0,10,mountains_a21; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a22,780.120003,-762.301512,0.970620,0,10,mountains_a22; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a23,856.960003,970.748488,35.040621,0,10,mountains_a23; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a24,942.320003,-1189.161512,0.970620,0,10,mountains_a24; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
