observation_id,anchor_id,role,condition_group,notes
Run_20260903_194002__sky_000009,a00,reference,,DAY+CLEAR capture of large_city_flat_a00 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000019,a01,reference,,DAY+CLEAR capture of large_city_flat_a01 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000001,a02,reference,,DAY+CLEAR capture of large_city_flat_a02 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000010,a03,reference,,DAY+CLEAR capture of large_city_flat_a03 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000020,a04,reference,,DAY+CLEAR capture of large_city_flat_a04 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000018,a05,reference,,DAY+CLEAR capture of large_city_flat_a05 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000002,a06,reference,,DAY+CLEAR capture of large_city_flat_a06 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000008,a07,reference,,DAY+CLEAR capture of large_city_flat_a07 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000021,a08,reference,,DAY+CLEAR capture of large_city_flat_a08 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000017,a09,reference,,DAY+CLEAR capture of large_city_flat_a09 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000011,a10,reference,,DAY+CLEAR capture of large_city_flat_a10 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000003,a11,reference,,DAY+CLEAR capture of large_city_flat_a11 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000022,a12,reference,,DAY+CLEAR capture of large_city_flat_a12 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000016,a13,reference,,DAY+CLEAR capture of large_city_flat_a13 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000007,a14,reference,,DAY+CLEAR capture of large_city_flat_a14 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000023,a15,reference,,DAY+CLEAR capture of large_city_flat_a15 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000012,a16,reference,,DAY+CLEAR capture of large_city_flat_a16 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000015,a17,reference,,DAY+CLEAR capture of large_city_flat_a17 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000004,a18,reference,,DAY+CLEAR capture of large_city_flat_a18 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000006,a19,reference,,DAY+CLEAR capture of large_city_flat_a19 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000024,a20,reference,,DAY+CLEAR capture of large_city_flat_a20 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000014,a21,reference,,DAY+CLEAR capture of large_city_flat_a21 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000013,a22,reference,,DAY+CLEAR capture of large_city_flat_a22 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000005,a23,reference,,DAY+CLEAR capture of large_city_flat_a23 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000025,a24,reference,,DAY+CLEAR capture of large_city_flat_a24 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000026,a25,reference,,DAY+CLEAR capture of large_city_flat_a25 (rule: the single DAY+CLEAR cell member)
Run_20260903_194002__sky_000027,a26,reference,,DAY+CLEAR capture of large_city_flat_a26 (rule: the single DAY+CLEAR cell member)
