observation_id,anchor_id,role,condition_group,notes
Run_20260903_184325__sky_000007,a00,reference,,DAY+CLEAR capture of mountains_a00 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000016,a01,reference,,DAY+CLEAR capture of mountains_a01 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000015,a02,reference,,DAY+CLEAR capture of mountains_a02 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000018,a03,reference,,DAY+CLEAR capture of mountains_a03 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000013,a04,reference,,DAY+CLEAR capture of mountains_a04 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000014,a05,reference,,DAY+CLEAR capture of mountains_a05 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000010,a06,reference,,DAY+CLEAR capture of mountains_a06 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000019,a07,reference,,DAY+CLEAR capture of mountains_a07 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000004,a08,reference,,DAY+CLEAR capture of mountains_a08 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000006,a09,reference,,DAY+CLEAR capture of mountains_a09 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000002,a10,reference,,DAY+CLEAR capture of mountains_a10 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000005,a11,reference,,DAY+CLEAR capture of mountains_a11 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000001,a12,reference,,DAY+CLEAR capture of mountains_a12 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000008,a13,reference,,DAY+CLEAR capture of mountains_a13 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000025,a14,reference,,DAY+CLEAR capture of mountains_a14 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000028,a15,reference,,DAY+CLEAR capture of mountains_a15 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000003,a16,reference,,DAY+CLEAR capture of mountains_a16 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000023,a17,reference,,DAY+CLEAR capture of mountains_a17 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000024,a18,reference,,DAY+CLEAR capture of mountains_a18 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000012,a19,reference,,DAY+CLEAR capture of mountains_a19 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000020,a20,reference,,DAY+CLEAR capture of mountains_a20 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000011,a21,reference,,DAY+CLEAR capture of mountains_a21 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000026,a22,reference,,DAY+CLEAR capture of mountains_a22 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000030,a23,reference,,DAY+CLEAR capture of mountains_a23 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000029,a24,reference,,DAY+CLEAR capture of mountains_a24 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000017,a25,reference,,DAY+CLEAR capture of mountains_a25 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000009,a26,reference,,DAY+CLEAR capture of mountains_a26 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000021,a27,reference,,DAY+CLEAR capture of mountains_a27 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000022,a28,reference,,DAY+CLEAR capture of mountains_a28 (rule: the single DAY+CLEAR cell member)
Run_20260903_184325__sky_000027,a29,reference,,DAY+CLEAR capture of mountains_a29 (rule: the single DAY+CLEAR cell member)
