observation_id,anchor_id,role,condition_group,notes
Run_20260903_180607__sky_000007,a00,reference,,DAY+CLEAR capture of asian_village_hills_background_a00 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000006,a01,reference,,DAY+CLEAR capture of asian_village_hills_background_a01 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000002,a02,reference,,DAY+CLEAR capture of asian_village_hills_background_a02 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000001,a03,reference,,DAY+CLEAR capture of asian_village_hills_background_a03 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000003,a04,reference,,DAY+CLEAR capture of asian_village_hills_background_a04 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000010,a05,reference,,DAY+CLEAR capture of asian_village_hills_background_a05 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000008,a06,reference,,DAY+CLEAR capture of asian_village_hills_background_a06 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000004,a07,reference,,DAY+CLEAR capture of asian_village_hills_background_a07 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000005,a08,reference,,DAY+CLEAR capture of asian_village_hills_background_a08 (rule: the single DAY+CLEAR cell member)
Run_20260903_180607__sky_000009,a09,reference,,DAY+CLEAR capture of asian_village_hills_background_a09 (rule: the single DAY+CLEAR cell member)
